iter	Passed	Remaining
0	6	3435
1	12	3238
2	16	2829
3	21	2719
4	25	2589
5	29	2494
6	34	2456
7	38	2414
8	43	2405
9	48	2389
10	51	2333
11	56	2326
12	61	2327
13	64	2288
14	69	2288
15	74	2275
16	78	2263
17	84	2283
18	88	2279
19	94	2293
20	98	2273
21	103	2272
22	107	2263
23	111	2251
24	116	2248
25	120	2231
26	125	2226
27	130	2225
28	134	2212
29	138	2199
30	143	2196
31	146	2181
32	151	2176
33	156	2177
34	160	2163
35	165	2160
36	169	2158
37	173	2144
38	178	2144
39	183	2143
40	187	2127
41	192	2128
42	196	2123
43	200	2113
44	205	2112
45	209	2104
46	214	2098
47	219	2095
48	223	2089
49	227	2078
50	232	2075
51	236	2067
52	240	2059
53	245	2059
54	249	2049
55	253	2043
56	258	2039
57	262	2029
58	266	2025
59	271	2019
60	275	2013
61	280	2015
62	285	2014
63	293	2031
64	298	2032
65	302	2022
66	307	2020
67	312	2016
68	316	2006
69	321	2004
70	325	2000
71	329	1990
72	335	1995
73	340	1992
74	344	1982
75	349	1979
76	353	1976
77	357	1966
78	362	1965
79	367	1961
80	369	1945
81	375	1943
82	380	1941
83	384	1934
84	389	1933
85	394	1932
86	398	1923
87	403	1921
88	408	1918
89	412	1909
90	416	1903
91	420	1896
92	424	1889
93	428	1883
94	432	1875
95	437	1871
96	441	1864
97	444	1856
98	448	1850
99	452	1843
100	457	1837
101	460	1830
102	464	1822
103	469	1817
104	472	1810
105	477	1804
106	480	1797
107	485	1792
108	489	1788
109	493	1781
110	497	1776
111	502	1771
112	506	1765
113	510	1761
114	515	1757
115	519	1751
116	524	1747
117	527	1740
118	532	1735
119	536	1731
120	540	1724
121	545	1719
122	548	1713
123	552	1707
124	557	1703
125	561	1696
126	565	1693
127	570	1690
128	575	1685
129	580	1683
130	585	1679
131	588	1672
132	593	1668
133	597	1663
134	601	1656
135	605	1652
136	609	1645
137	613	1641
138	618	1638
139	622	1631
140	627	1628
141	631	1624
142	635	1618
143	640	1614
144	644	1608
145	648	1603
146	652	1599
147	656	1592
148	661	1588
149	665	1584
150	669	1578
151	673	1573
152	676	1565
153	681	1561
154	685	1555
155	688	1549
156	693	1545
157	697	1539
158	701	1535
159	705	1530
160	709	1525
161	714	1521
162	718	1515
163	722	1511
164	727	1508
165	731	1503
166	736	1498
167	740	1494
168	744	1488
169	749	1484
170	753	1480
171	757	1474
172	761	1470
173	765	1464
174	769	1460
175	774	1455
176	777	1450
177	782	1445
178	786	1440
179	790	1436
180	794	1431
181	798	1425
182	802	1421
183	806	1415
184	811	1411
185	816	1408
186	819	1402
187	824	1398
188	829	1394
189	833	1390
190	837	1386
191	841	1381
192	845	1376
193	850	1372
194	853	1366
195	858	1362
196	863	1358
197	867	1353
198	871	1348
199	876	1344
200	879	1339
201	884	1335
202	888	1329
203	892	1325
204	896	1321
205	900	1315
206	905	1311
207	908	1306
208	913	1302
209	917	1297
210	921	1292
211	926	1289
212	930	1284
213	934	1279
214	938	1275
215	942	1269
216	946	1265
217	951	1261
218	955	1256
219	960	1252
220	964	1248
221	968	1243
222	972	1238
223	976	1233
224	980	1229
225	985	1225
226	988	1219
227	993	1215
228	997	1210
229	1001	1206
230	1005	1201
231	1009	1196
232	1014	1192
233	1018	1188
234	1022	1183
235	1027	1179
236	1031	1174
237	1035	1170
238	1040	1166
239	1043	1161
240	1048	1157
241	1052	1152
242	1056	1148
243	1062	1144
244	1066	1140
245	1070	1135
246	1073	1130
247	1077	1125
248	1082	1121
249	1086	1117
250	1090	1112
251	1095	1108
252	1099	1104
253	1103	1099
254	1108	1095
255	1112	1091
256	1117	1087
257	1123	1084
258	1127	1079
259	1131	1075
260	1136	1071
261	1141	1066
262	1144	1062
263	1149	1058
264	1153	1053
265	1157	1048
266	1162	1044
267	1166	1040
268	1171	1036
269	1175	1032
270	1179	1027
271	1184	1023
272	1188	1019
273	1192	1014
274	1197	1010
275	1200	1005
276	1203	999
277	1207	994
278	1211	990
279	1215	985
280	1219	981
281	1224	976
282	1228	972
283	1232	967
284	1236	963
285	1240	958
286	1245	954
287	1248	949
288	1252	945
289	1257	940
290	1261	936
291	1265	931
292	1269	927
293	1273	922
294	1277	918
295	1281	913
296	1286	909
297	1290	905
298	1294	900
299	1299	896
300	1302	891
301	1307	887
302	1311	882
303	1315	878
304	1320	874
305	1324	869
306	1327	865
307	1332	860
308	1336	856
309	1338	850
310	1341	845
311	1346	841
312	1350	836
313	1360	835
314	1363	831
315	1368	827
316	1373	823
317	1377	818
318	1382	814
319	1386	810
320	1390	805
321	1394	801
322	1398	796
323	1402	792
324	1407	788
325	1411	783
326	1415	779
327	1420	775
328	1424	770
329	1428	766
330	1433	762
331	1437	757
332	1441	753
333	1445	748
334	1449	744
335	1454	740
336	1457	735
337	1462	731
338	1465	726
339	1470	722
340	1474	717
341	1478	713
342	1482	709
343	1486	704
344	1490	700
345	1495	695
346	1498	691
347	1503	686
348	1506	682
349	1511	677
350	1516	673
351	1519	669
352	1524	665
353	1529	661
354	1531	655
355	1535	651
356	1539	646
357	1544	642
358	1548	638
359	1551	633
360	1554	628
361	1558	624
362	1563	620
363	1567	615
364	1571	611
365	1576	607
366	1580	602
367	1585	598
368	1589	594
369	1593	590
370	1602	587
371	1606	583
372	1611	578
373	1614	574
374	1619	570
375	1623	565
376	1627	561
377	1632	557
378	1636	552
379	1640	548
380	1644	543
381	1648	539
382	1652	535
383	1656	530
384	1660	526
385	1665	522
386	1669	517
387	1673	513
388	1678	509
389	1681	504
390	1686	500
391	1689	495
392	1694	491
393	1696	486
394	1700	482
395	1704	477
396	1708	473
397	1713	469
398	1716	464
399	1721	460
400	1725	456
401	1729	451
402	1734	447
403	1738	443
404	1742	438
405	1746	434
406	1750	430
407	1755	425
408	1759	421
409	1762	417
410	1767	412
411	1771	408
412	1776	404
413	1780	399
414	1784	395
415	1788	391
416	1792	386
417	1796	382
418	1801	378
419	1805	373
420	1810	369
421	1814	365
422	1818	361
423	1823	356
424	1827	352
425	1831	348
426	1836	344
427	1840	339
428	1845	335
429	1850	331
430	1854	326
431	1858	322
432	1862	318
433	1866	313
434	1870	309
435	1872	304
436	1877	300
437	1880	296
438	1884	291
439	1889	287
440	1893	283
441	1906	280
442	1910	276
443	1914	271
444	1918	267
445	1923	263
446	1927	258
447	1932	254
448	1936	250
449	1940	245
450	1944	241
451	1948	237
452	1953	232
453	1958	228
454	1961	224
455	1966	219
456	1970	215
457	1974	211
458	1979	206
459	1982	202
460	1987	198
461	1991	194
462	1995	189
463	2000	185
464	2004	181
465	2008	176
466	2012	172
467	2016	168
468	2020	163
469	2025	159
470	2029	155
471	2034	150
472	2038	146
473	2042	142
474	2046	137
475	2050	133
476	2055	129
477	2059	124
478	2063	120
479	2068	116
480	2073	112
481	2077	107
482	2081	103
483	2086	99
484	2090	94
485	2094	90
486	2098	86
487	2103	81
488	2107	77
489	2111	73
490	2115	68
491	2120	64
492	2124	60
493	2128	56
494	2133	51
495	2137	47
496	2141	43
497	2145	38
498	2150	34
499	2154	30
500	2157	25
501	2162	21
502	2165	17
503	2178	12
504	2183	8
505	2187	4
506	2191	0
